Word,ONsize,Frequency,NumSemFeats
mane,15,0.0214251,2
luau,0,0.028834974,8
navy,1,0.050693832,9
late,11,0.06906823,7
part,10,0.068827055,4
flag,6,0.047693525,9
moot,12,0.026714781,6
call,10,0.078144744,5
away,2,0.07685967,7
type,4,0.057405375,5
ruby,0,0.04468782,11
ping,10,0.034680802,3
burp,4,0.02744911,10
damp,7,0.033748493,7
dart,10,0.03049981,9
boxy,3,0.012580767,3
tint,7,0.016254207,7
dial,4,0.042387646,6
jive,5,0.02949011,10
dish,6,0.04438725,16
glum,5,0.02561689,8
goon,9,0.031806484,4
plod,5,0.008588758,6
wild,4,0.056964416,6
item,1,0.044954196,8
hall,15,0.056194093,7
shit,8,0.0734868,8
claw,7,0.036881987,10
coot,15,0.022807365,9
pace,10,0.042985186,9
reps,0,0.02467738,6
beef,6,0.048624035,13
opal,2,0.02561689,9
host,6,0.046503842,5
teen,3,0.036378033,12
wide,12,0.05009989,3
size,2,0.055268984,4
bond,10,0.05223088,9
arms,2,0.057295583,9
trim,4,0.036705602,6
dead,10,0.073051244,4
cart,10,0.042540632,9
sing,10,0.06112381,5
zoom,4,0.035260346,5
vibe,4,0.038255252,5
brat,5,0.039621316,4
coop,10,0.043600727,4
dusk,8,0.02684257,14
punt,10,0.023016144,8
sons,1,0.0479419,5
tart,8,0.032197043,8
mush,13,0.033429924,5
lack,13,0.047805116,6
keel,6,0.02684257,4
deli,1,0.03125214,7
dude,5,0.061269596,5
beet,10,0.015750257,10
bald,6,0.043112975,6
noir,0,0.023797268,5
duke,7,0.050494052,13
acre,2,0.03009485,6
toot,11,0.028932165,4
rear,16,0.045027986,3
woke,8,0.050893612,5
bump,7,0.04497759,7
rash,11,0.04162632,12
temp,1,0.034004066,8
door,3,0.06969097,11
left,4,0.07364518,5
dewy,2,0.014630767,7
city,2,0.06541999,10
lurk,3,0.018743362,6
welt,10,0.012580767,9
inch,1,0.04499019,7
hare,16,0.03583989,8
toll,9,0.034817588,9
suit,5,0.05837008,11
flop,7,0.03193787,7
scum,2,0.043253362,5
deed,11,0.042774606,9
meld,6,0.014630767,4
date,12,0.064028725,7
yarn,6,0.029027555,14
yawn,5,0.025467504,9
grew,5,0.05171613,2
self,2,0.046041287,9
toss,4,0.04500279,3
vent,10,0.03695218,8
ripe,9,0.036525622,7
lion,1,0.046674825,16
path,3,0.050341066,6
melt,8,0.040890194,4
cute,4,0.060292292,4
west,12,0.057392776,9
malt,6,0.029308328,9
soon,7,0.06871007,6
kelp,3,0.027090944,8
jack,8,0.06852468,7
most,10,0.07112183,3
jilt,5,0.0031694893,6
mayo,0,0.034587212,14
coma,3,0.044928998,10
gang,7,0.05194291,8
taut,2,0.022593185,4
fate,12,0.051071797,8
mace,12,0.035130758,5
tube,4,0.047205772,8
icon,1,0.029668292,3
flew,7,0.046694625,6
home,7,0.07731143,9
bout,5,0.048379257,7
tote,6,0.026047047,12
clay,7,0.044752613,7
axed,4,0.016254207,3
brow,4,0.030177642,4
mite,13,0.026714781,9
mood,7,0.052893218,8
tusk,6,0.015210309,8
butt,4,0.053868722,8
pelt,5,0.02500315,8
