Word,ONsize,Frequency,NumSemFeats
mime,8,0.026455607,9
seam,12,0.02214683,5
loom,8,0.018743362,7
kiss,5,0.06281384,8
cash,11,0.058793038,7
drug,2,0.0551106,12
mars,3,0.043703318,8
rack,11,0.041376144,7
brig,3,0.034054462,8
calf,3,0.033851083,8
bran,3,0.027564298,9
chow,4,0.040393442,5
song,8,0.06080344,12
coop,10,0.043600727,4
prop,7,0.035555515,4
jaws,0,0.03286658,7
plow,8,0.030341426,8
dune,9,0.025467504,7
dean,9,0.05389752,9
veil,2,0.033851083,7
maze,10,0.032690197,8
cell,10,0.05654866,11
bite,9,0.05430608,7
papa,0,0.054644443,9
swim,3,0.052362267,10
gang,7,0.05194291,8
sons,1,0.0479419,5
stew,6,0.039887693,7
pint,9,0.034634005,6
welt,10,0.012580767,9
file,11,0.05490542,11
mole,13,0.04164612,8
mesh,5,0.022593185,5
dust,10,0.05011249,3
brow,4,0.030177642,4
jade,3,0.03804827,9
visa,1,0.03663541,12
boob,6,0.033953674,10
curl,5,0.03206926,7
rook,10,0.028010655,7
tote,6,0.026047047,12
loin,4,0.017598676,6
teat,13,0.016727561,7
pine,14,0.03959792,11
womb,3,0.03508576,10
nook,7,0.025906662,5
crew,5,0.05550116,3
poet,4,0.042691816,6
hump,7,0.03695218,4
digs,3,0.033851083,3
dick,13,0.056352478,1
camp,6,0.056084305,7
wash,11,0.05429348,9
sing,10,0.06112381,5
mate,17,0.051705334,5
root,12,0.04368892,8
swab,9,0.032134052,9
burp,4,0.02744911,10
shit,8,0.0734868,8
lady,2,0.067370996,10
kick,9,0.058899228,5
flab,8,0.012580767,4
cook,11,0.05517179,10
hail,13,0.04476521,9
loft,5,0.035470925,6
foal,7,0.015750257,8
shop,7,0.05643347,10
goop,8,0.022593185,2
jack,8,0.06852468,7
mama,0,0.061598964,10
post,12,0.052515253,5
trap,4,0.05011249,9
chef,2,0.044675224,12
grip,6,0.04308058,2
thug,3,0.035130758,11
pulp,3,0.03009485,6
mite,13,0.026714781,9
silo,5,0.02500315,9
dark,9,0.060367882,8
slab,11,0.030177642,6
pita,1,0.026320621,12
gear,11,0.046996996,11
leak,8,0.043435145,5
brie,2,0.02467738,10
swat,11,0.035879485,4
bong,9,0.03337413,7
loon,12,0.028118644,8
acid,3,0.043298356,11
memo,1,0.04009827,8
edge,1,0.0500027,4
dyke,3,0.032808986,4
wink,11,0.035217147,5
brim,4,0.024509998,4
cyst,2,0.019090729,8
drop,3,0.06340059,6
mark,8,0.059764944,5
push,9,0.058587857,4
spot,6,0.057524163,3
bake,13,0.0397671,9
soak,3,0.035042565,6
puss,5,0.033748493,13
boil,6,0.039270353,9
clot,5,0.030012058,6
ford,10,0.044426847,8
cent,10,0.042904194,12
wept,4,0.028010655,8
curd,7,0.019090729,8
acre,2,0.03009485,6
weld,5,0.021912852,11
aunt,5,0.056669246,11
feed,11,0.05460845,4
grin,5,0.03315275,6
roll,4,0.057736542,7
clap,10,0.037486725,8
teen,3,0.036378033,12
peck,8,0.035217147,2
limp,10,0.03551412,4
pour,7,0.046554238,5
drip,3,0.038107667,7
reel,8,0.034587212,8
vial,2,0.02744911,9
wife,6,0.07108043,7
muff,4,0.025161535,2
home,7,0.07731143,9
burn,6,0.056672845,7
wrap,2,0.047832113,9
grey,3,0.042675618,6
herd,8,0.04061302,7
fare,16,0.039547525,6
trot,2,0.030012058,10
king,8,0.06331959,7
slip,11,0.050753225,3
snap,5,0.04764853,4
bump,7,0.04497759,7
tide,10,0.04093159,10
hash,10,0.035217147,4
pelt,5,0.02500315,8
