file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
stocking,0.0,0.8862585034013606,MFA_Ready,-45.172525127282306,-45.919681549072266,3.0536599571774112,5.2658067310992465
appeal,0.0,0.5817233560090703,MFA_Ready,-49.87435597386853,-50.37305545806885,3.0194956417500207,11.209583255981244
success,0.0,0.7895691609977324,MFA_Ready,-45.233262460443036,-46.97953542073568,2.964465879387046,3.753460483295381
sunset,0.0,0.8964172335600907,MFA_Ready,-49.55174153645833,-46.9553025563558,2.9439541597668204,10.54244488201514
debate,0.0,0.6681179138321995,MFA_Ready,-48.44324277052239,-52.45820236206055,2.943953193118843,8.120881745439359
excuse,0.0,0.9014965986394557,MFA_Ready,-49.19690212673611,-52.28162656511579,2.936563294718455,14.60728948982586
organ,0.0,0.728344671201814,MFA_Ready,-51.655808540239725,-49.8279052734375,2.90889305626823,6.996890697153031
basin,0.0,0.6511111111111111,MFA_Ready,-43.41824669471154,-47.326203155517575,2.908892348924466,11.340087875986399
effort,0.0,0.5773922902494331,MFA_Ready,-54.4249267578125,-52.55472278594971,2.8846776082295595,7.906319772536666
express,0.0,0.8432199546485261,MFA_Ready,-51.24371047247024,-53.77037756783621,2.879310855240477,5.79597260572848
system,0.0,0.7005895691609977,MFA_Ready,-49.19862234933036,-49.95914077758789,2.856718181875745,9.1189783326823
career,0.0,0.6034240362811791,MFA_Ready,-45.82144775390625,-45.51062297821045,2.8069931407420468,5.097698922405545
insect,0.0,0.9096145124716554,MFA_Ready,-50.164792239010985,-49.439486821492515,2.8069923666857557,8.471325898081421
fellow,0.0,0.7276643990929705,MFA_Ready,-46.54779805222603,-42.50865840911865,2.8069414014279706,4.7726057076428
convent,0.0,0.8663718820861678,MFA_Ready,-47.66521866020115,-46.46302468436105,2.7817767286241093,9.319730233057065
event,0.0,0.9968480725623583,MFA_Ready,-45.2626513671875,-44.82223663330078,2.7817767286241093,6.702356822748303
abuse,0.0,0.8319954648526077,MFA_Ready,-44.70965502635542,-45.60970764160156,2.7789202141471803,14.331023794212843
magic,0.0,0.8790022675736961,MFA_Ready,-43.42784812233665,-42.60535774230957,2.755726893817798,9.490279890248662
culture,0.0,0.5814739229024943,MFA_Ready,-57.77175377155172,-54.685970306396484,2.7472453004919943,6.120260615865476
soda,0.0,0.6600453514739228,MFA_Ready,-43.28921786221591,-45.25337314605713,2.7396718331452643,17.60724369924001
under,0.0,0.6126984126984127,MFA_Ready,-48.006547771516395,-46.27080059051514,2.7112548892323374,8.380899106459161
kitten,0.0,0.5791836734693877,MFA_Ready,-46.661090719288794,-50.345024490356444,2.6715473930048708,4.560646137603182
dozen,0.0,0.664172335600907,MFA_Ready,-48.22458718039773,-48.079470825195315,2.6715473930048708,7.03346551874516
question,0.0,0.787641723356009,MFA_Ready,-48.66046219837816,-49.051304953438894,2.671546685661107,6.652480566000634
vodka,0.0,0.6935600907029479,MFA_Ready,-42.658167742300726,-44.37733764648438,2.6642064724009527,6.126001860876151
background,0.0,0.7511111111111111,MFA_Ready,-56.678821614583335,-56.6158561706543,2.664205847709227,4.16137878088815
adult,0.0,0.667641723356009,MFA_Ready,-55.05087963502798,-52.05167846679687,2.6642055353633642,7.622080835705525
distress,0.0,0.8402721088435374,MFA_Ready,-49.26878138950893,-52.09410095214844,2.6504268104205413,9.731983123212565
mattress,0.0,0.873922902494331,MFA_Ready,-49.98831492456897,-50.073570251464844,2.650425446164022,8.377269932613164
chaos,0.0,0.8475056689342404,MFA_Ready,-45.49694393382353,-44.80557727813721,2.650425446164022,10.899428242179766
village,0.0,0.7688888888888888,MFA_Ready,-47.7729682426948,-45.258025360107425,2.646071575905156,5.459824253730538
equal,0.0,0.6772335600907029,MFA_Ready,-48.6438419117647,-46.230471801757815,2.628039468848596,11.725270543248733
jewel,0.0,0.4853061224489796,MFA_Ready,-49.049769810267854,-47.60986042022705,2.628039468848596,9.376100666775297
nursery,0.0,0.7143990929705215,MFA_Ready,-48.54296875,-46.22600784301758,2.6253234491920576,10.418021247255698
regret,0.0,0.7052834467120181,MFA_Ready,-53.281494140625,-51.23039627075195,2.6196002641293754,1.9018625059426242
effect,0.0,0.6993650793650794,MFA_Ready,-52.784169224330356,-52.83409881591797,2.6043585400813747,6.292926917887893
fatigue,0.0,0.6907256235827665,MFA_Ready,-48.17359106091485,-51.02731170654297,2.602002290923667,8.37683928599997
hatchet,0.0,0.5268253968253969,MFA_Ready,-57.341151975235846,-57.64158630371094,2.5989533256280053,7.126826324285684
welfare,0.0,0.637233560090703,MFA_Ready,-47.16847610473633,-45.505215644836426,2.5899834345365638,12.824422732272701
