word,cosine_similarity,clean_norm,noisy_norm
package,0.61395454,25.082714,19.94068
painter,0.34404463,36.64643,23.08628
palace,0.76881826,20.965467,21.899805
panic,0.5001721,27.645535,26.296835
paper,0.54679024,38.32244,20.866997
parade,0.66377413,32.759018,26.18723
parcel,0.6190332,33.38647,14.239274
pardon,0.6837062,32.090996,19.961538
partner,0.62922096,30.275791,20.94127
party,0.5968136,31.662516,18.002636
passage,0.6849302,26.96592,21.476036
passion,0.7647381,17.047045,15.235185
passive,0.6771479,24.726463,21.185717
pastor,0.60585743,25.51284,22.65681
patience,0.4285726,29.748665,23.358103
patient,0.42372763,32.047386,20.544498
pattern,0.6265437,31.815012,24.410273
payment,0.43702826,25.42617,18.77789
pebble,0.6926802,27.442736,18.222082
pencil,0.4030547,33.354862,18.05034
penny,0.4792176,14.798052,23.629488
people,0.5223712,28.358086,11.473252
pepper,0.6623376,22.529503,21.082094
perfect,0.56746304,26.227642,16.689316
period,0.50419456,44.11684,27.600708
permit,0.56849635,37.741615,24.82119
person,0.56764364,28.884445,19.444813
physics,0.5688481,30.718483,21.146025
pianist,0.51086724,34.156548,24.154886
piano,0.4631302,40.158688,28.424032
pickle,0.5629631,22.802515,14.229436
picture,0.5483875,26.164639,21.837261
pigeon,0.4885495,29.172276,20.334259
pillow,0.55234414,32.062744,22.362215
pimple,0.44590184,35.315067,28.138147
piping,0.629773,27.838617,19.278915
pity,0.52586955,32.24292,23.879288
planet,0.5326438,34.78298,24.420258
platform,0.71539456,28.557692,18.110136
platter,0.72579455,34.35083,26.617046
pleasure,0.6168186,32.369102,20.623428
pliers,0.66570854,32.377605,21.863148
pocket,0.7017754,31.400549,22.418535
poet,0.6755507,24.961557,22.802692
poison,0.508229,32.558273,21.032093
polish,0.70925975,32.545986,18.110113
pollen,0.60688525,34.085186,21.166475
pony,0.38963187,42.843327,22.139725
porter,0.55795807,35.938057,28.044325
poster,0.59854454,27.644583,19.834454
powder,0.59341455,26.916458,23.05094
prayer,0.74425143,33.990215,19.439001
presence,0.59149927,31.683464,27.915136
present,0.6209125,34.681732,22.04837
pressure,0.7087658,28.8842,25.605793
pretence,0.44731382,33.05441,19.105328
princess,0.45397985,36.763603,26.539396
prison,0.53541404,32.72512,25.518826
private,0.5533237,29.851204,21.256155
problem,0.73267215,31.136559,27.06604
produce,0.56460047,34.232044,22.537859
product,0.71458864,38.826405,26.394464
profit,0.69513834,24.99736,19.918415
programme,0.5574769,34.34257,22.775904
promise,0.50151634,40.52065,17.696861
pronoun,0.56882936,31.197609,20.609861
prophet,0.701352,30.858046,20.269585
protest,0.5415825,33.828556,23.459513
public,0.615793,28.66194,20.692532
pudding,0.6044785,38.282974,24.765965
puddle,0.687573,34.938194,26.903244
puppy,0.71432716,23.791548,15.853144
purpose,0.63793623,31.904915,23.934233
puzzle,0.5337796,30.225962,25.771313
quarrel,0.68610096,39.461918,34.241962
quarter,0.5740966,36.464226,23.624
